index,phase,period_ns,wake_ns,read_ns,command_ns,tracking_error,cmd_q1,cmd_v1,cmd_a1,obs_q1,cmd_q2,cmd_v2,cmd_a2,obs_q2,cmd_q3,cmd_v3,cmd_a3,obs_q3,cmd_q4,cmd_v4,cmd_a4,obs_q4,cmd_q5,cmd_v5,cmd_a5,obs_q5,cmd_q6,cmd_v6,cmd_a6,obs_q6
90,outward,8000093,56047,10352,23361,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.475183,0.00373562,0.00680973,0.475096
91,outward,7999677,55724,10537,23528,8.64885e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.475213,0.00378958,0.00667871,0.475096
92,outward,8002057,57781,9750,24426,8.16834e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.475243,0.00384247,0.00654245,0.475131
93,outward,7997992,55773,9907,24139,9.47591e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.475274,0.00389424,0.00640106,0.475148
94,outward,8000658,56431,10259,26342,9.08001e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.475305,0.00394487,0.00625465,0.475183
95,outward,8000853,57284,10055,27343,0.000104704,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.475337,0.00399431,0.00610335,0.475201
96,outward,8008435,65719,10639,26085,0.000119008,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.475369,0.00404251,0.00594728,0.475218
97,outward,7990251,55970,10583,25204,0.000133703,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.475402,0.00408945,0.00578657,0.475236
98,outward,7999658,55628,10111,24287,0.000131325,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.475435,0.00413508,0.00562134,0.475271
99,outward,8001640,57268,10416,24880,0.000146771,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.475468,0.00417938,0.00545173,0.475288
100,outward,8006296,63564,18055,39103,0.000145123,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.475502,0.0042223,0.00527788,0.475323
101,outward,7994335,57899,17732,39278,0.000161277,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.475536,0.00426381,0.00509992,0.47534
102,outward,7999742,57641,17602,38537,0.000160316,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.47557,0.00430389,0.004918,0.475375
