index,phase,period_ns,wake_ns,read_ns,command_ns,raw_tracking_error_rad,expected_lag_error_rad,dynamic_hard_threshold_rad,tracking_warning,hard_crossing,cmd_q1,cmd_v1,cmd_a1,obs_q1,cmd_q2,cmd_v2,cmd_a2,obs_q2,cmd_q3,cmd_v3,cmd_a3,obs_q3,cmd_q4,cmd_v4,cmd_a4,obs_q4,cmd_q5,cmd_v5,cmd_a5,obs_q5,cmd_q6,cmd_v6,cmd_a6,obs_q6
38,outward,8000688,59544,22528,50463,2.8821859325234289e-05,6.332186662792891e-05,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47427318560342047,0.0004549779952883324,0.0041992555715944339,0.47424085626222223
39,outward,8000410,59954,23639,53472,3.2329341198233941e-05,6.8246699293249863e-05,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.4742769618527351,0.00048934140922420163,0.0043920607581655014,0.47424085626222223
40,outward,7999735,59689,21547,48379,3.6105590512869323e-05,7.3401211383630242e-05,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47428101920847676,0.00052525823673391797,0.0045875919714741227,0.47424085626222223
41,outward,7999771,59460,22177,45806,5.7616238476776438e-05,7.8788735510087695e-05,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47428537018410205,0.00056274987952937541,0.0047857477538911239,0.47422340296999999
42,outward,8000245,59705,21843,43314,4.4513921879818508e-05,8.4412481929406312e-05,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47429002746104526,0.00060183693168545233,0.0049864276531767599,0.47424085626222223
43,outward,7999901,59606,21278,43787,4.9171198823028117e-05,9.0275539752817852e-05,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47429500388228957,0.00064253918766836828,0.0051895322187912154,0.47424085626222223
44,outward,8010374,69980,21490,48185,5.41476200673352e-05,9.6380878150255239e-05,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47430031244600213,0.00068487565033452575,0.0053949629982050981,0.47424085626222223
45,outward,7989790,59770,21703,49010,5.9456183779893479e-05,0.00010273134755017887,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47430596629923294,0.00072886453889983629,0.0056026225332099491,0.47424085626222223
46,outward,8000040,59810,22120,47195,6.5110037010707167e-05,0.00010932968083497544,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47431197873167785,0.00077452329687952774,0.0058124143562287133,0.47424085626222223
47,outward,7998310,58120,21287,48834,7.1122469455620063e-05,0.00011617849453192916,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47431836316950426,0.00082186859999843907,0.0060242429866262668,0.47424085626222223
