index,start_period_ns,edg_read_ns,command_ns,wait_ns,wake_lateness_ns,cycle_work_ns
531,8003421,0,45195,7951893,62110,45453
532,7997568,0,46463,7952337,59678,46778
533,7999337,0,45667,7952049,59015,45963
534,7998234,0,43880,7966263,57249,44130
535,8010624,0,43334,7947670,67873,43639
536,7991532,0,46972,7950828,59405,47240
537,7998290,0,42972,7957604,57695,43222
538,8001049,0,43870,7958402,58744,44195
539,8002809,0,43694,7956541,61553,43991
540,8000763,0,44973,7951837,62316,45232
541,7997300,0,43258,7954383,59616,43592
542,7998197,0,42760,7958004,57813,43028
543,8001245,0,44843,7955319,59058,45157
544,8000698,0,49389,7946495,59756,49657
545,7996327,0,21712,7977865,56083,21870
546,7999883,0,23944,7975013,55966,24102
547,7999253,0,24148,7975688,55219,24324
548,8000152,0,25194,7974910,55371,25370
549,8000429,0,21935,7977652,55800,22111
550,7999901,0,23806,7975689,55701,23991
551,7999828,0,23509,7977698,55529,23676
552,8001522,0,27342,7971540,57051,27500
553,7999179,0,23334,7976290,56230,23491
554,7999920,0,23926,7975004,56150,24093
555,7999235,0,23472,7977420,55385,23630
556,8001198,0,21148,7977604,56583,21334
557,7999068,0,21149,7979096,55651,21305
558,8000550,0,23055,7976208,56201,23241
559,7999596,0,22074,7976938,55797,22232
560,7999319,0,24944,7975660,55116,25101
561,8000909,0,22380,7975309,56025,22565
562,7998004,0,22834,7979411,54029,23000
563,8002559,0,24694,7975058,56588,24852
564,8000059,0,25305,7979900,56647,25462
565,8005511,0,22380,7970735,62158,22556
566,7993439,0,21972,7978013,55597,22138
567,8000281,0,23231,7976383,55878,23407
568,7999938,0,58490,7940892,55816,58638
569,7999678,0,26250,7973633,55494,26408
570,8000180,0,26657,7974355,55674,26916
571,8001419,0,23880,7974216,57093,24046
572,7998401,0,23334,7976105,55494,23491
573,7999735,0,22926,7978031,55229,23083
574,8001253,0,27915,7971402,56482,28129
575,7999688,0,30186,7968411,56170,30370
576,7998947,0,29296,7977652,55117,29482
577,8007319,0,42778,7954994,62436,43027
578,7998234,0,47406,7949846,60670,47712
579,7997817,0,44269,7955466,58487,44565
580,8000291,0,41871,7964124,58778,42185
581,8006531,0,41935,7954253,65309,42231
582,7996706,0,49139,7951105,62015,49389
583,8000707,0,46371,7949003,62722,46676
584,7995911,0,46833,7953734,58633,47138
585,8001086,0,43185,7955613,59719,43510
586,7999336,0,40871,7959550,59055,41176
587,8000948,0,41509,7956744,60003,41824
588,7998790,0,41972,7960040,58793,42231
589,8002503,0,47704,7949123,61296,47973
590,7997308,0,45490,7953494,58604,45759
591,7999476,0,46574,7956587,58080,46824
592,8003642,0,44991,7952374,61722,45296
593,7997948,0,47139,7951179,59670,47398
594,7998790,0,47926,7954004,58460,48176
595,8002383,0,24130,7970559,60843,24315
596,7995013,0,23945,7974662,55856,24102
597,7998892,0,26074,7974327,54748,26241
598,8000725,0,23574,7976300,55473,23750
599,8000189,0,21806,7978318,55662,21991
600,8000467,0,21686,7977040,56129,21861
601,7999040,0,24518,7975984,55169,24685
602,8000818,0,23343,7976494,55987,23500
603,8000133,0,21630,7976282,56120,21787
604,7998207,0,24732,7976642,54327,24908
605,8001698,0,21962,7977818,56025,22120
606,8000096,0,22436,7976957,56121,22611
607,7999735,0,19898,7980253,55856,20065
608,8000457,0,30000,7968780,56313,30158
609,7999077,0,21527,7978975,55390,21704
610,8000828,0,22917,7975077,56218,23074
611,7998290,0,24120,7975809,54508,24297
612,8000254,0,23445,7978104,54762,23602
613,8001854,0,26435,7973374,56616,26611
614,8000134,0,25954,7972698,56750,26111
615,7998948,0,22740,7976578,55698,22926
616,7999633,0,22305,7979011,55331,22481
617,8001642,0,23592,7973411,56973,23750
618,7997299,0,22824,7978985,54272,23000
619,8002134,0,23278,7975420,56406,23435
620,7998994,0,23213,7978067,55400,23380
621,8001605,0,22546,7975809,57005,22694
622,7998642,0,26306,7978457,55647,26491
623,8005096,0,23722,7972467,60743,23898
624,7996504,0,21759,0,57247,21926
